ID,smiles,clogp,tpsa,mw,scaffold_clogp,scaffold_tpsa,scaffold_mw
STOCK1S-00003,O=[N+]([O-])c1ccc(O)c(/C=N/c2ccc3nccnc3c2)c1,-0.430813573720325,0.9671462646523424,-1.1890341815376215,-0.1067990941932934,-1.5394587059382865,-1.945086906215663
STOCK1S-00004,CCOC(=O)C1CCCNC1=O,-1.6995388256297548,-0.8567381474343532,-2.7138574019273456,-1.68449566046443,-1.89703656508519,-3.606802260852676
STOCK1S-00005,C/C(=N/O)C1=CC(C)(C)CCC1,-0.13912915085368785,-1.758989360613653,-2.7629367242107468,-0.7512584886318546,-3.0480891868965725,-3.8174526541655274
STOCK1S-00007,Cc1cc(N/N=C/c2cccc([N+](=O)[O-])c2)nc(-n2nc(C)cc2C)n1,-0.06824779634588575,1.3476660660896445,-0.4814703823858006,-0.7554909723902343,-0.3587397794410433,-1.5605259734822818
STOCK1S-00008,CCOc1ccc(C2NC(=O)NC(C)=C2C(=O)OCc2ccccc2)cc1,0.3213446845459163,-0.01579729727249798,-0.2953263560193096,-0.4701807720512765,-0.3808906202731525,-1.0149510722812904
STOCK1S-00010,CC1(C)Cc2ccccc2/C(=C/C(=O)Nc2ccccc2[N+](=O)[O-])N1,0.3167552443259869,0.2852168076066985,-0.6550690763300707,-0.3966987347521809,-1.4211890379239895,-1.5603534036464806
STOCK1S-00012,Cn1c(=O)c(C(=O)Nc2ccncc2)c(O)c2ccccc21,-0.7347365038401079,0.28323905396097465,-1.1763828676702808,-0.7212741458616481,-0.08739197924770778,-1.5484650563721214
STOCK1S-00013,Cc1cc(O)nc(N2CCCCC2)n1,-0.6133713069130806,-1.1000018458584082,-2.4406968243852902,-1.0825650787305507,-1.9002009709183485,-2.812779013087131
STOCK1S-00021,O=C1NC(=O)C(=Cc2cn(-c3ccccc3)nc2-c2ccccc2)C(=O)N1,-0.3293359510796593,0.6340925507124168,-0.3951502094125367,-0.6634981928707565,0.6340925507124168,-0.3951502094125367
STOCK1S-00024,CCCCOc1ccc(C(CC(=O)O)C(=O)O)cc1,-0.6281595031772982,0.2678125755243289,-1.5356910483497983,-0.9705317435840468,-3.0480891868965725,-3.86743421868237
STOCK1S-00026,Cc1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccc(C)cc2)cc1,2.539064186376349,-2.168779916007671,-0.03476721666377551,1.2792118522254483,-2.168779916007671,-0.38230974422391417
STOCK1S-00028,CCOC(=O)C(Cc1ccc(OC)c([N+](=O)[O-])c1)NC(=O)CCC(=O)Nc1cccc([N+](=O)[O-])c1,-0.2961899939357233,4.07221948843906,1.2172302144534948,-0.4210227679178081,-0.7459839432738077,-1.1632804326862185
STOCK1S-00029,O=C(OCc1ccccc1)Oc1cncc(C(=O)ON2C(=O)CCC2=O)c1,-1.2869991436383044,1.3860344868166905,-0.24669815485262805,-0.8015383559301945,1.38603448681669,-0.24669815485262805
STOCK1S-00033,COCCOC(=O)c1c(C)oc2ccc(OC(=O)C(C)(C)C)cc12,0.11940931486901353,-0.08264537049796992,-0.6922766328245912,-0.5900161555716609,-2.528335528800299,-3.3715623307173037
STOCK1S-00034,CCCCn1nc(CC(=O)NCCN(CC)CC)c2ccccc2c1=O,-0.6082719288909367,-0.3888016348560488,-0.3935348762669341,-1.3598692555747425,-1.2384446010590902,-3.024331648633424
STOCK1S-00035,C=CCN1C(=O)NC(=O)/C(=C/c2ccc(O)cc2)C1=O,-1.2263165451747906,0.381731185518032,-1.4617436379629565,-1.6082599590333768,-0.07077884862362477,-2.156377571966516
STOCK1S-00036,CN1C(=O)N(C)C2C1N(C)C(=O)N2C(C)(C)C,-0.940751375934726,-1.1850452526245412,-1.857513121253877,-2.7157428778826134,0.2057111110485931,-3.073911967714368
STOCK1S-00037,CCOC(=O)CC12CN3CN(C1)CC(CC(=O)OCC)(C3)C2=O,-0.9438110027480124,-0.03597038445888212,-0.8159270564473585,-2.141552912589197,-2.1165672197605567,-2.9493593018581588
STOCK1S-00038,CCOC(=O)CC(=O)NNC(=O)c1c(O)c2ccccc2n(CC)c1=O,-0.92035386384615,1.9647252035555405,-0.35769726460805384,-1.05135688523503,-1.7483094909267434,-3.0366711170245044
STOCK1S-00039,CCn1c(=O)c(C(=O)NCC2CCCO2)c(O)c2ccccc21,-0.6735439675743798,0.13846748709397616,-0.9154390643643244,-1.0978632127969832,-0.23216354611470624,-1.4612925168462352
STOCK1S-00040,COc1ccc(-c2nc3ccccc3nc2-c2ccccc2)cc1,0.6798309595026404,-1.6632660841606104,-0.9652314775598876,0.7006364218329901,-2.028359407161265,-1.3373136662617289
STOCK1S-00042,Cc1ccc2c(c1)/C(=C/c1nc3ccccc3c(=O)n1-c1ccccc1)C(=O)N2,0.3289937515791326,-0.5169600710989656,-0.1344683759020218,0.1471499313094791,-0.5169600710989656,-0.30823963968209184
STOCK1S-00045,Nc1n[nH]c2nc(NCc3ccccc3)c3c(c12)CCN(Cc1ccccc1)C3,0.42486205839543983,0.2294441547972812,-0.07155694623691701,0.27458338808285737,-0.7997788424375011,-0.25766767840806803
STOCK1S-00046,CN(C)CC(CCC(CN(C)C)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1,1.1974178287502586,-1.1913740642908597,1.8146576218045118,2.3565064531835938,-3.0480891868965725,0.003186724938248916
